Timestamp,Human readable date,bcddc2462d2e_flowrate,bcddc2462d2e_litros,bcddc2462d2e_mililitros,bcddc2462d2e_segundos,context_bcddc2462d2e_flowrate,context_bcddc2462d2e_litros,context_bcddc2462d2e_mililitros,context_bcddc2462d2e_segundos,created_at_bcddc2462d2e_flowrate,created_at_bcddc2462d2e_litros,created_at_bcddc2462d2e_mililitros,created_at_bcddc2462d2e_segundos
1641604322380,2022-01-07 19:12:02,3.1832802295684814,8.0,9017.0,25079.0,{},{},{},{},1641604322380,1641604322380,1641604322380,1641604322380
1641604262447,2022-01-07 19:11:02,1.0166497230529783,8.0,8964.0,25020.0,{},{},{},{},1641604262447,1641604262447,1641604262447,1641604262447
1641604204678,2022-01-07 19:10:04,2.633289337158203,8.0,8948.0,24960.0,{},{},{},{},1641604204678,1641604204678,1641604204678,1641604204678
1641604142557,2022-01-07 19:09:02,3.949934244155884,8.0,8905.0,24899.0,{},{},{},{},1641604142557,1641604142557,1641604142557,1641604142557
1641604082440,2022-01-07 19:08:02,3.116614818572998,8.0,8840.0,24840.0,{},{},{},{},1641604082440,1641604082440,1641604082440,1641604082440
1641604022487,2022-01-07 19:07:02,2.6166231632232666,8.0,8789.0,24779.0,{},{},{},{},1641604022487,1641604022487,1641604022487,1641604022487
1641603962400,2022-01-07 19:06:02,3.6166064739227295,8.0,8746.0,24719.0,{},{},{},{},1641603962400,1641603962400,1641603962400,1641603962400
1641603902460,2022-01-07 19:05:02,3.6332728862762447,8.0,8686.0,24659.0,{},{},{},{},1641603902460,1641603902460,1641603902460,1641603902460
1641603842407,2022-01-07 19:04:02,2.249962568283081,8.0,8626.0,24599.0,{},{},{},{},1641603842407,1641603842407,1641603842407,1641603842407
1641603782398,2022-01-07 19:03:02,0.6499891877174377,8.0,8589.0,24539.0,{},{},{},{},1641603782398,1641603782398,1641603782398,1641603782398
1641603722394,2022-01-07 19:02:02,1.2166464328765867,8.0,8579.0,24479.0,{},{},{},{},1641603722394,1641603722394,1641603722394,1641603722394
1641603662429,2022-01-07 19:01:02,0.6666555404663086,8.0,8559.0,24419.0,{},{},{},{},1641603662429,1641603662429,1641603662429,1641603662429
1641603602402,2022-01-07 19:00:02,2.383293628692627,8.0,8548.0,24359.0,{},{},{},{},1641603602402,1641603602402,1641603602402,1641603602402
1641603542372,2022-01-07 18:59:02,2.68328857421875,8.0,8509.0,24299.0,{},{},{},{},1641603542372,1641603542372,1641603542372,1641603542372
1641603482334,2022-01-07 18:58:02,1.449975848197937,8.0,8465.0,24239.0,{},{},{},{},1641603482334,1641603482334,1641603482334,1641603482334
1641603422405,2022-01-07 18:57:02,2.783287048339844,8.0,8441.0,24179.0,{},{},{},{},1641603422405,1641603422405,1641603422405,1641603422405
1641603362410,2022-01-07 18:56:02,2.5666239261627197,8.0,8395.0,24119.0,{},{},{},{},1641603362410,1641603362410,1641603362410,1641603362410
1641603302444,2022-01-07 18:55:02,0.1499975025653839,8.0,8353.0,24060.0,{},{},{},{},1641603302444,1641603302444,1641603302444,1641603302444
1641603244620,2022-01-07 18:54:04,3.14994740486145,8.0,8351.0,23999.0,{},{},{},{},1641603244620,1641603244620,1641603244620,1641603244620
1641603184278,2022-01-07 18:53:04,0.1499975025653839,8.0,8299.0,23939.0,{},{},{},{},1641603184278,1641603184278,1641603184278,1641603184278
1641603122403,2022-01-07 18:52:02,1.4999749660491943,8.0,8297.0,23879.0,{},{},{},{},1641603122403,1641603122403,1641603122403,1641603122403
1641603062411,2022-01-07 18:51:02,1.4166430234909058,8.0,8273.0,23819.0,{},{},{},{},1641603062411,1641603062411,1641603062411,1641603062411
1641603002402,2022-01-07 18:50:02,2.766620635986328,8.0,8250.0,23759.0,{},{},{},{},1641603002402,1641603002402,1641603002402,1641603002402
1641602942384,2022-01-07 18:49:02,3.2666122913360596,8.0,8204.0,23699.0,{},{},{},{},1641602942384,1641602942384,1641602942384,1641602942384
1641602882446,2022-01-07 18:48:02,0.5166580677032471,8.0,8150.0,23640.0,{},{},{},{},1641602882446,1641602882446,1641602882446,1641602882446
1641602822824,2022-01-07 18:47:02,1.4999749660491943,8.0,8142.0,23579.0,{},{},{},{},1641602822824,1641602822824,1641602822824,1641602822824
1641602762297,2022-01-07 18:46:02,3.1832802295684814,8.0,8118.0,23519.0,{},{},{},{},1641602762297,1641602762297,1641602762297,1641602762297
1641602702475,2022-01-07 18:45:02,2.466625452041626,8.0,8065.0,23459.0,{},{},{},{},1641602702475,1641602702475,1641602702475,1641602702475
1641602642362,2022-01-07 18:44:02,1.1333144903182983,8.0,8024.0,23400.0,{},{},{},{},1641602642362,1641602642362,1641602642362,1641602642362
1641602584406,2022-01-07 18:43:04,0.7833203077316285,7.0,8006.0,23340.0,{},{},{},{},1641602584406,1641602584406,1641602584406,1641602584406
1641602522675,2022-01-07 18:42:02,0.11666472256183624,7.0,7993.0,23280.0,{},{},{},{},1641602522675,1641602522675,1641602522675,1641602522675
1641602462537,2022-01-07 18:41:02,0.3999933302402496,7.0,7992.0,23219.0,{},{},{},{},1641602462537,1641602462537,1641602462537,1641602462537
1641602402469,2022-01-07 18:40:02,2.849952459335327,7.0,7986.0,23159.0,{},{},{},{},1641602402469,1641602402469,1641602402469,1641602402469
1641602342482,2022-01-07 18:39:02,1.3333110809326172,7.0,7939.0,23100.0,{},{},{},{},1641602342482,1641602342482,1641602342482,1641602342482
1641602284696,2022-01-07 18:38:04,0.3833269476890564,7.0,7917.0,23039.0,{},{},{},{},1641602284696,1641602284696,1641602284696,1641602284696
1641602222487,2022-01-07 18:37:02,3.699938297271729,7.0,7911.0,22979.0,{},{},{},{},1641602222487,1641602222487,1641602222487,1641602222487
1641602162455,2022-01-07 18:36:02,0.6833219528198242,7.0,7850.0,22919.0,{},{},{},{},1641602162455,1641602162455,1641602162455,1641602162455
1641602102353,2022-01-07 18:35:02,4.23326301574707,7.0,7839.0,22860.0,{},{},{},{},1641602102353,1641602102353,1641602102353,1641602102353
1641602042627,2022-01-07 18:34:02,3.933267831802368,7.0,7769.0,22799.0,{},{},{},{},1641602042627,1641602042627,1641602042627,1641602042627
1641601982387,2022-01-07 18:33:02,2.816619634628296,7.0,7704.0,22740.0,{},{},{},{},1641601982387,1641601982387,1641601982387,1641601982387
1641601922546,2022-01-07 18:32:02,0.11666472256183624,7.0,7658.0,22680.0,{},{},{},{},1641601922546,1641601922546,1641601922546,1641601922546
1641601862859,2022-01-07 18:31:02,0.34999415278434753,7.0,7657.0,22620.0,{},{},{},{},1641601862859,1641601862859,1641601862859,1641601862859
1641601802733,2022-01-07 18:30:02,1.5666406154632568,7.0,7652.0,22559.0,{},{},{},{},1641601802733,1641601802733,1641601802733,1641601802733
1641601742504,2022-01-07 18:29:02,3.6499390602111816,7.0,7626.0,22499.0,{},{},{},{},1641601742504,1641601742504,1641601742504,1641601742504
1641601684122,2022-01-07 18:28:04,3.549940824508667,7.0,7566.0,22439.0,{},{},{},{},1641601684122,1641601684122,1641601684122,1641601684122
1641601622517,2022-01-07 18:27:02,3.083281993865967,7.0,7507.0,22379.0,{},{},{},{},1641601622517,1641601622517,1641601622517,1641601622517
1641601562475,2022-01-07 18:26:02,0.26666221022605896,7.0,7456.0,22319.0,{},{},{},{},1641601562475,1641601562475,1641601562475,1641601562475
1641601502489,2022-01-07 18:25:02,4.199930191040039,7.0,7452.0,22259.0,{},{},{},{},1641601502489,1641601502489,1641601502489,1641601502489
1641601442401,2022-01-07 18:24:02,1.383310317993164,7.0,7383.0,22199.0,{},{},{},{},1641601442401,1641601442401,1641601442401,1641601442401
1641601382445,2022-01-07 18:23:02,3.983266830444336,7.0,7360.0,22140.0,{},{},{},{},1641601382445,1641601382445,1641601382445,1641601382445
1641601324623,2022-01-07 18:22:04,3.416609764099121,7.0,7294.0,22079.0,{},{},{},{},1641601324623,1641601324623,1641601324623,1641601324623
1641601262466,2022-01-07 18:21:02,2.33329439163208,7.0,7238.0,22019.0,{},{},{},{},1641601262466,1641601262466,1641601262466,1641601262466
1641601202432,2022-01-07 18:20:02,1.9833003282546997,7.0,7200.0,21959.0,{},{},{},{},1641601202432,1641601202432,1641601202432,1641601202432
1641601142356,2022-01-07 18:19:02,3.933267831802368,7.0,7167.0,21899.0,{},{},{},{},1641601142356,1641601142356,1641601142356,1641601142356
1641601082359,2022-01-07 18:18:02,0.44999250769615173,7.0,7102.0,21839.0,{},{},{},{},1641601082359,1641601082359,1641601082359,1641601082359
1641601022349,2022-01-07 18:17:02,0.2999950051307678,7.0,7095.0,21779.0,{},{},{},{},1641601022349,1641601022349,1641601022349,1641601022349
1641600962479,2022-01-07 18:16:02,0.1499975025653839,7.0,7091.0,21719.0,{},{},{},{},1641600962479,1641600962479,1641600962479,1641600962479
1641600902432,2022-01-07 18:15:02,0.3666605651378632,7.0,7089.0,21659.0,{},{},{},{},1641600902432,1641600902432,1641600902432,1641600902432
1641600842385,2022-01-07 18:14:02,1.6333061456680298,7.0,7083.0,21599.0,{},{},{},{},1641600842385,1641600842385,1641600842385,1641600842385
1641600782457,2022-01-07 18:13:02,1.0833152532577517,7.0,7056.0,21539.0,{},{},{},{},1641600782457,1641600782457,1641600782457,1641600782457
1641600722461,2022-01-07 18:12:02,4.23326301574707,6.0,7038.0,21479.0,{},{},{},{},1641600722461,1641600722461,1641600722461,1641600722461
1641600662779,2022-01-07 18:11:02,0.7833203077316285,6.0,6968.0,21419.0,{},{},{},{},1641600662779,1641600662779,1641600662779,1641600662779
1641600602418,2022-01-07 18:10:02,2.166630506515503,6.0,6955.0,21359.0,{},{},{},{},1641600602418,1641600602418,1641600602418,1641600602418
1641600542471,2022-01-07 18:09:02,2.383293628692627,6.0,6919.0,21299.0,{},{},{},{},1641600542471,1641600542471,1641600542471,1641600542471
1641600482396,2022-01-07 18:08:02,3.999933242797851,6.0,6880.0,21240.0,{},{},{},{},1641600482396,1641600482396,1641600482396,1641600482396
1641600424719,2022-01-07 18:07:04,2.68328857421875,6.0,6814.0,21180.0,{},{},{},{},1641600424719,1641600424719,1641600424719,1641600424719
1641600362589,2022-01-07 18:06:02,1.5499742031097412,6.0,6770.0,21119.0,{},{},{},{},1641600362589,1641600362589,1641600362589,1641600362589
1641600302370,2022-01-07 18:05:02,0.49999165534973145,6.0,6745.0,21059.0,{},{},{},{},1641600302370,1641600302370,1641600302370,1641600302370
